ano,area_ha,ton,pos_mariana,trend
2000,4969.005758984678,1636.5,0,0
2001,4995.967695001524,1646.0,0,1
2002,4994.867640277399,578.0,0,2
2003,5024.204146960757,547.5,0,3
2004,5067.55665137971,620.0,0,4
2005,5090.951183868721,974.5,0,5
2006,5111.058562018139,657.0,0,6
2007,5113.526016650704,1034.5,0,7
2008,5127.757561914379,1463.8799984933194,0,8
2009,5191.278169812339,1893.2599969866387,0,9
2010,5205.624688617269,2322.639995479958,0,10
2011,5202.584565076008,2752.019993973277,0,11
2012,5231.516769208092,1559.9171294312396,0,12
2013,5274.405621734953,1978.2114769422544,0,13
2014,5285.598303131437,1622.6973074222465,0,14
2015,5272.053514514493,1496.3841546773062,0,15
2021,5070.636824951376,388.56125,1,21
2022,5023.580980243119,418.4107,1,22
2023,4998.894057879835,375.1639,1,23
