ano,ton,fonte
2000,25.350177304964536,Sea Around Us
2001,24.746601654846334,Sea Around Us
2002,10.40691489361702,Sea Around Us
2003,9.46025413711584,Sea Around Us
2004,12.185874704491725,Sea Around Us
2005,19.74010047281324,Sea Around Us
2006,17.198729314420802,Sea Around Us
2007,16.41725768321513,Sea Around Us
2008,17.785362490149723,Sea Around Us
2009,17.13378316259522,Sea Around Us
2010,17.112134445320024,Sea Around Us
2011,17.343760032688323,Sea Around Us
2012,17.196559213534524,Sea Around Us
2013,17.217484563847623,Sea Around Us
2014,17.25260127002349,Sea Around Us
2015,17.22221501580188,Sea Around Us
